Errors: A1—14 / False positives or false negatives in archival material.
ID	NO	START	END	SOURCE	TYPE	DESCRIPTION	NOTE	
		Burke	"E. Burke, W. Burke"			2	1808	1757	London	UK	An Account of the European Settlements in America		https://www.google.com/books/edition/An_Account_of_the_European_Settlements_i/G_sMAAAAYAAJ?hl=en&gbpv=0	
		Lon 62	sn			2	1762	1762	London	UK	The American gazetteer		"The American gazetteer : containing a distinct account of all the parts of the New world : their situation, climate, soil, produce, former and present condition : commodities, manufactures, and commerce : together with an accurate account of the cities, towns, ports, bays, rivers, lakes, mountains, passes, and fortifications ... Vol. 2, Printed for A. Millar [etc.], 1762. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103933762/SABN?u=camb55135&sid=SABN&xid=919c328b&pg=109. Accessed 17 Feb. 2021."	
		Jefferys	T. Jefferys				1775	1775	London	UK	"The West-India atlas, or, A compendious description of the West-Indies"		"Jefferys, Thomas. The West-India atlas, or, A compendious description of the West-Indies : illustrated with forty correct charts and maps, taken from actual surveys : together with an historical account of the several countries and islands which compose that part of the world, their discovery, situation, extent, boundaries, product, trade, inhabitants, strength, government, religion, &c. Printed for Robert Sayer and John Bennett, 1775. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0110763069/SABN?u=camb55135&sid=SABN&xid=f28b570d&pg=16. Accessed 17 Feb. 2021."	
		Lon 79	sn				1779	1779	London	UK	"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore"		"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore : in which all the accusations brought against the subjects of Great Britain settled in the bay of Honduras : and against the ancient British settlement in the free and independent dominions of the Mosquito shore : are candidly stated and refuted : and the importance of the Mosquito shore to Great Britain, delineated and ascertained ... Printed for T. Cadell, 1779. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100038323/SABN?u=camb55135&sid=SABN&xid=46610deb&pg=1. Accessed 17 Feb. 2021."	
		White 1 Hon	R. White				1789	1789	London	UK	The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain 		"White, Robert, et al. The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain : who were, in the month of September 1779, robbed and despoiled of their property, and captivated in their persons by the King of Spain's forces and subjects, in violation of the seventeenth article of the treaty of Paris, concluded in February 1763, and in breach of other prior articles and treaties, then in force between His Majesty and the said King of Spain. Printed for T. Cadell, 1789. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102760133/SABN?u=camb55135&sid=SABN&xid=50d0d710&pg=1. Accessed 17 Feb. 2021."	
		White 1 Mos	R. White				1789	1789	London	UK	The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America 		"White, Robert. The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America : most humbly submitted to the King's Most Excellent Majesty in Council, the Lords and Commons in Parliament, and the nation of Great-Britain at large, 1789. Printed for T. Cadell in the Strand, 1789. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102270362/SABN?u=camb55135&sid=SABN&xid=b8095f09&pg=1. Accessed 17 Feb. 2021."	
		Lon 90 Narrative	sn				1790	1790	London	UK	A narrative of the negotiations occasioned by the dispute between England and Spain		"A narrative of the negotiations occasioned by the dispute between England and Spain, in the year 1790. [s.n.], [1791?]. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102254917/SABN?u=camb55135&sid=SABN&xid=5592a75c&pg=1. Accessed 17 Feb. 2021."	
		Verus	"Verus, J. B. Burges"				1790	1790	London	UK	Letters lately published in The diary on the subject of the present dispute with Spain		"Verus., and James Bland Burges. Letters lately published in The diary on the subject of the present dispute with Spain. Printed for G. Kearsley ..., 1790. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102153815/SABN?u=camb55135&sid=SABN&xid=252b8bd7&pg=69. Accessed 17 Feb. 2021."	
		White 2 Hon	R. White				1793	1793	London	UK	"The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore "		"White, Robert. The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore : stating the whole of his conduct, in soliciting compensation for the losses, sustained by each of those classes of His Majesty's injured and distressed subjects. Printed for T. Cadell, 1793. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101574822/SABN?u=camb55135&sid=SABN&xid=a6dcd8a3&pg=1. Accessed 17 Feb. 2021."	
		White 2 Mos	R. White				1793	1793	London	UK	The case of the agent to the settlers on the coast of Yucatan and the late settlers on the Mosquito-Shore 		"White, Robert. The case of the agent to the settlers on the coast of Yucatan and the late settlers on the Mosquito-Shore : stating the whole of his conduct in soliciting compensation for the losses sustained by each of those classes of His Majesty's injured and distressed subjects. Printed for T. Cadell, 1793. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0105619504/SABN?u=camb55135&sid=SABN&xid=8970463d&pg=1. Accessed 17 Feb. 2021."	
		Henderson	G. Henderson				1809	1809	London	UK	An account of the British settlement of Honduras 		"Henderson, George. An account of the British settlement of Honduras : being a view of its commercial and agricultural resources, soil, climate, natural history, &c. : to which are added, sketches of the manners and customs of the Mosquito Indians, preceded by the journal of a voyage to the Mosquito shore ... C. and R. Baldwin, 1809. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2a9. Accessed 17 Feb. 2021."	
		Edwards 4	B. Edwards			4	1818	1818	London	UK	"The history, civil and commercial, of the British West Indies"	5th ed = ?	"Edwards, Bryan. The history, civil and commercial, of the British West Indies. 5th ed., vol. 4, G. and W.B. Whittaker; [etc., etc.], 1818-19. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103354739/SABN?u=camb55135&sid=SABN&xid=f999489c&pg=261. Accessed 17 Feb. 2021."	
		Edwards 5	B. Edwards			5	1818	1818	London	UK	"The history, civil and commercial, of the British West Indies"	5th ed = ?	"Edwards, Bryan. The history, civil and commercial, of the British West Indies. 5th ed., vol. 5, G. and W.B. Whittaker; [etc., etc.], 1818-19. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106428381/SABN?u=camb55135&sid=SABN&xid=e80cf12a&pg=1. Accessed 17 Feb. 2021."	
		Armstrong	"J. Armstrong, G. Arthur"				1824	1824	London	UK	"A candid examination of ""The defense of the settlers of Honduras"" "		https://link.gale.com/apps/doc/U0107412823/MOME?u=camb55135&sid=MOME&xid=ace432cc&pg=1	
		Lon 24	sn				1824	1824	London	UK	"The defence, &c. &c."		https://link.gale.com/apps/doc/DS0103730001/SAS?u=camb55135&sid=SAS&xid=1ede003f&pg=40	
		Winthrop 1	J. Winthrop	J. K. Hosmer		1	1908	1825	New York	USA	"Winthrop's Journal ""History of New England"" 1630-1649"	Transcribes part of Winthrop Papers of Massachusetts Historical Society	https://www.google.com/books/edition/Winthrop_s_Journal_History_of_New_Englan/Y9PIGzZI66oC?hl=en&gbpv=0	
		Winthrop 2	J. Winthrop	J. K. Hosmer		2	1908	1825	New York	USA	"Winthrop's Journal ""History of New England"" 1630-1649"		https://www.google.com/books/edition/Winthrop_s_Journal_History_of_New_Englan/0D2lSuKkDmYC?hl=en&gbpv=1&printsec=frontcover	
		Southey	T. Southey			2	1827	1827	London	UK	Chronological history of the West Indies		"Southey, Thomas. Chronological history of the West Indies. Vol. 2, Longman, Rees, Orme, Brown, and Green, 1827. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0104192403/SABN?u=camb55135&sid=SABN&xid=9a3daa27&pg=257. Accessed 17 Feb. 2021."	
		Martin 1	R. M. Martin			1	1836	1836	London	UK	History of the West Indies		"Martin, Robert Montgomery. History of the West Indies: Comprising Jamaica, Honduras, Trinidad, Tobago, Grenada, The Bahamas, and The Virgin Isles. Vol. 1, Whittaker & Co., 1836. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0112507654/SABN?u=camb55135&sid=SABN&xid=06da52f8&pg=72. Accessed 17 Feb. 2021."	
		Martin 2	R. M. Martin				1837	1837	London	UK	Colonial policy of the British Empire		"Martin, Robert Montgomery. Colonial policy of the British Empire. Pt. 1, Government. W.H. Allen & Co., 1837. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106089023/SABN?u=camb55135&sid=SABN&xid=1305c6c0&pg=90. Accessed 17 Feb. 2021."	
		Eastern	Eastern Coast of Central America Commercial and Agricultural Company				1839	1839	London	UK	"Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the state of Guatemala"		"Eastern Coast of Central America Commercial and Agricultural Company. Board of Directors. Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the state of Guatemala. Whittaker & Co., 1839. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106797626/SABN?u=camb55135&sid=SABN&xid=fc50e901&pg=7. Accessed 17 Feb. 2021."	
		Clayton	J. M. Clayton				1853	1853	Washington	USA	"Speech of John M. Clayton, of Delaware, delivered in the Senate of the United States on the 8th of March, 1853"		"Clayton, John Middleton. Speech of John M. Clayton, of Delaware, delivered in the Senate of the United States on the 8th of March, 1853 : in vindication of the Central American treaty concluded with Great Britain on the 19th of April, 1850. Printed by Kirkwood & McGill, 1853. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0104293458/SABN?u=camb55135&sid=SABN&xid=1d289d88&pg=14. Accessed 17 Feb. 2021."	
		Fancourt	C. S. J. Fancourt				1854	1854	London	UK	"The history of Yucatan, from its discovery to the close of the seventeenth century"		"Fancourt, Charles Saint John. The history of Yucatan, from its discovery to the close of the seventeenth century. J. Murray, 1854. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100004060/SABN?u=camb55135&sid=SABN&xid=783b6f0e&pg=1. Accessed 20 Feb. 2021."	
		Squier 1	"E. G. Squier, S. A. Bard"				1855	1855	London	UK	"Waikna, or, Adventures on the Mosquito shore"		"Squier, Ephraim George, and Samuel A. Bard. Waikna, or, Adventures on the Mosquito shore. Sampson Low, son, & co., 1855. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103178029/SABN?u=camb55135&sid=SABN&xid=f8bae517&pg=93. Accessed 17 Feb. 2021."	
		US State	sn				1856	1856	Washington	USA	Documents relative to Central American affairs and the enlistment question		"United States. Dept. of State., et al. Documents relative to Central American affairs and the enlistment question. C. Wendell, Printer, 1856. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102905680/SABN?u=camb55135&sid=SABN&xid=e04c57fa&pg=1. Accessed 17 Feb. 2021."	
		Squier 2	E. G. Squier				1858	1858	New York	USA	The states of Central America 		"Squier, Ephraim George. The states of Central America : their geography, topography, climate, population, resources, productions, commerce, political organization, aborigines, etc. etc. : comprising chapters on Honduras, San Salvador, Nicaragua, Costa Rica, Guatemala, Belize, the Bay Islands, the Mosquito Shore, and the Honduras Inter-oceanic Railway. Harper & Bros, 1858. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2g3. Accessed 17 Feb. 2021."	
		Harris	J. D. Harris				1860	1860	New York	USA	A summer on the borders of the Caribbean Sea		"Harris, J. Dennis. A summer on the borders of the Caribbean Sea. A.B. Burdick, 1860. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100216178/SABN?u=camb55135&sid=SABN&xid=de785820&pg=137. Accessed 17 Feb. 2021."	
		Fernandez	C. Fernández Duro			2	1877	1877	Madrid	Spain	"La mar descrita por los mareados, Más disquisiciones, vol 2"		https://www.google.com/books/edition/La_mar_descrita_por_los_mareados/4iv4_CqVEM8C?hl=en&gbpv=1&pg=PA301&printsec=frontcover	
		Alsedo	D. de Alsedo y Herrera				1883	1883	Madrid	Spain	Piraterías y agresiones de los ingleses y de otros pueblos de Europa en la América española desde el siglo XVI al XVIII		http://www.cervantesvirtual.com/obra/piraterias-y-agresiones-de-los-ingleses--y-de-otros-pueblos-de-europa-en-la-america-espanola-desde-el-siglo-xvi-al-xviii--deducidas-de-las-obras-de-dionisio-de-alsedo-y-herrera--publicalas-justo-zaragoza/	
		Kemble 2	S. Kemble	New York Historical Society		2	1884	1884	New York	USA	Kemble Papers	Transcribes part of Kemble Papers of New York Historical Society	file:///Users/angelnavidad/Downloads/Journals_of_Kemble_brigadier_general_in.pdf	
		Chalmers	R. Chalmers				1893	1893	London	UK	A History of Currency in the British Colonies		https://link.gale.com/apps/doc/U0112205310/MOME?u=camb55135&sid=MOME&xid=212bf46b&pg=1	
		Strong		American Historical Association			1899	1899	Washington	USA	Annual Report of the American Historical Association for the year 1898	H.Doc.295	https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:SERIAL&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=113940A2F120EB68&svc_dat=Digital:ssetdoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
		Molina 1	J. F. Molina Solís			1	1904	1904	Merida	Mexico	Historia de Yucatán durante la dominación española vol 1		http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V01/1/	
		Molina 2	J. F. Molina Solís			2	1904	1904	Merida	Mexico	Historia de Yucatán durante la dominación española vol 2		http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V02/1/	
		Molina 3	J. F. Molina Solís			3	1904	1904	Merida	Mexico	Historia de Yucatán durante la dominación española vol 3		http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V03/1/	
		Bristow	J. L. Bristow				1905	1905	Washington	USA	Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War. 1905		"Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War. 1905. World Scholar: Latin America & the Caribbean, worldscholar.gale.com/region/latin-america/MonographsDetailsPage/MonographsDetailsWindow?disableHighlighting=false&displayGroupName=DVI-Monographs&docIndex=1&prodId=LAC&mode=view&limiter=&display-query=TX+Report+Of+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+To+The+Secretary+Of+War.+1905&contentModules=&action=e&sortBy=&windowstate=normal&currPage=1&dviSelectedPage=&scanId=&query=TX+Report+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+Secretary+War.+1905&search_within_results=&p=LACD&catId=&displayGroups=&documentId=GALE%7CSA5299194852&activityType=BasicSearch&failOverType=&commentary=&source=Bookmark&u=camb55135&jsid=ae0cdd8d308047d5a8955c6b8b44f227. Accessed 17 Feb. 2021."	
		Haring	C. H. Haring				1910	1910	London	UK	Buccaneers in the West Indies in the Seventeenth Century		http://www.gutenberg.org/ebooks/19139	
		Newton	A. P. Newton			1	1914	1914	London	UK	The Colonising Activities of the English Puritans		http://www.llmcdigital.org.ezp-prod1.hul.harvard.edu/default.aspx?redir=31970	
		Forbes	S. Forbes	E. W. Williams			1920	1915	London	UK	The Baymen of Belize and how they wrested British Honduras from the Spaniards		https://ufdc.ufl.edu/UF00095345/00001	
		Jameson	xxx	J. F. James			1923	1923	New York	USA	Privateering and Piracy in the Colonial Period: Illustrative Documents		http://www.gutenberg.org/files/24882/24882-h/24882-h.htm	
		Roberts	W. A. Roberts				1933	1933	New York	USA	"Sir Henry Morgan, buccaneer and governor"		https://hdl.handle.net/2027/mdp.39015021845162	
		Burdon 1	J. A. Burdon			1	1935	1935	London	UK	Archives of British Honduras		"file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%201,%20From%20the%20earliest%20date%20to%20A.%20D1800.pdf"	
		Burdon 2	J. A. Burdon			2	1935	1935	London	UK	Archives of British Honduras		"file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%202,%201801-1840.pdf"	
		Burdon 3	J. A. Burdon			3	1935	1935	London	UK	Archives of British Honduras		file:///Users/angelnavidad/Downloads/Archives_of_British_Honduras_From_1841_1.pdf	
		Roys 1	R. L. Roys				1939	1939	Washington	USA	The Titles of Ebtun		https://hdl.handle.net/2027/txu.059173022901217	
		Calderon	J. A. Calderón Quijano				1944	1944	Seville	Spain	Belice 1663 (?)-1821 	img 1202 = contents	http://simurg.bibliotecas.csic.es/viewer/image/CSIC000048031/1/	
		Winzerling	E. O. Winzerling				1946	1946	New York	USA	"The Beginning of British Honduras, 1506-1765"		https://ufdc.ufl.edu/UF00099216/00001	
		US BC	xxx	xxx			1975	1949	Washington	USA	"Bicentennial Edition: Historical Statistics of the United States, Colonial Times to 1970"		https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html	
		Roys 2	R. L. Roys				1957	1957	Washington	USA	The Political Geography of the Yucatan Maya		https://hdl.handle.net/2027/uva.x000422247	
		Crawford	M. J. Crawford			10	1964	1964	Washington	USA	Naval Documents of the American Revolution 10		https://wayback.archive-it.org/org-593/20200907065528/https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html	
		Goslinga	C. C. Goslinga				1971	1971	Assen	Netherlands	The Dutch in the Caribbean		file:///Users/angelnavidad/Downloads/Cornelius%20Ch.%20Goslinga%20-%20The%20Dutch%20in%20the%20Caribbean%20and%20on%20the%20Wild%20Coast%201580-1680-Koninklijke%20Van%20Gorcum%20&%20Comp.%20N.V.%20(1971).pdf	
		MacLeod	M. J. MacLeod				2008	1973	Berkeley	USA	"Spanish Central America: A Socioeconomic History, 1520–1720"		https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/45035	
		McCusker	J. J. McCusker				1978	1978	London	UK	"Money and exchange in Europe and America, 1600-1775: a handbook"		"file:///Users/angelnavidad/Downloads/John%20J.%20McCusker%20(auth.)%20-%20Money%20and%20Exchange%20in%20Europe%20and%20America,%201600–1775_%20A%20Handbook-Palgrave%20Macmillan%20UK%20(1978).pdf"	
		Gerhard	P. Gerhard				1993	1979	London	UK	The Southeast Frontier of New Spain		file:///Users/angelnavidad/Downloads/Peter%20Gerhard%20-%20The%20Southeast%20Frontier%20of%20New%20Spain-University%20of%20Oklahoma%20Press%20(1993).pdf	
		Craton	M. Craton				2009	1982	Ithaca	USA	Testing the chains: resistance to slavery in the British West Indies		https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.04568	
		Morgan	W. J. Morgan			7	1986	1986	Washington	USA	Naval Documents of the American Revolution 7		https://wayback.archive-it.org/org-593/20200907065528/https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html	
		Jones 1	G. D. Jones				1989	1989	Albuquerque	USA	Maya Resistance to Spanish Rule		file:///Users/angelnavidad/Downloads/Grant%20D.%20Jones%20-%20Maya%20resistance%20to%20Spanish%20rule_%20Time%20and%20history%20on%20a%20colonial%20frontier-University%20of%20New%20Mexico%20Press%20(1989).pdf	
		Kupperman	K. O. Kupperman				1993	1993	Cambridge	UK	"Providence Island, 1630-1641: the other Puritan colony"		https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.00270	
		Ribot	M. T. Ribot				1996	1993	Mexico City	Mexico	Belice: una historia olvidada		https://books.openedition.org/cemca/319	
		Jones 2	G. D. Jones				1998	1998	Stanford	USA	Conquest of the Last Maya Kingdom		https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03515	
		Lane	K. E. Lane				2016	1998	New York	USA	Pillaging the Empire		file:///Users/angelnavidad/Downloads/9781315722269.pdf	
		Marley	D. F. Marley				2008	1998	Santa Barbara	USA	Wars of the Americas		"file:///Users/angelnavidad/Downloads/Wars%20of%20the%20Americas%20A%20Chronology%20of%20Armed%20Conflict%20in%20the%20Western%20Hemisphere,%201492%20to%20the%20Present%20by%20David%20Marley%20(z-lib.org).pdf"	
		Adams		"R. E. W. Adams, M. J. MacLeod"		2	2008	2000	Cambridge	UK	The Cambridge History of the Native Peoples of the Americas		https://doi-org.ezp-prod1.hul.harvard.edu/10.1017/CHOL9780521652049	
		Diaz	B. Díaz del Castillo	D. Carrasco			2008	2008	Albuquerque	USA	The History of the Conquest of New Spain		file:///Users/angelnavidad/Downloads/David%20Carrasco%20-%20The%20History%20of%20the%20Conquest%20of%20New%20Spain%20by%20Bernal%20Diaz%20del%20Castillo-University%20of%20New%20Mexico%20Press%20(2009).pdf	
		Bechtold		"T. Bechtold, R. Mussak"			2009	2009	Chippenham	UK	Handbook of Natural Colorants		"file:///Users/angelnavidad/Downloads/(Wiley%20series%20in%20renewable%20resources)%20Thomas%20Bechtold,%20Rita%20Mussak%20-%20Handbook%20of%20natural%20colorants-Wiley%20(2009).pdf"	
		Latimer	J. Latimer				2009	2009	Cambridge	USA	Buccaneers of the Caribbean		https://doi-org.ezp-prod1.hul.harvard.edu/10.4159/9780674054172	
		Jarvis	M. J. Jarvis				2012	2010	Williamsburg	USA	"In the Eye of All Trade Bermuda, Bermudians, and the Maritime Atlantic World, 1680-1783"		https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/41104	
		Wombwell	J. A. Wombwell				2010	2010	Fort Leavenworth	USA	Long War Against Piracy		https://www.hsdl.org/?view&did=23760	
		Graham	E. Graham				2011	2011	Gainesville	USA	Maya Christians and Their Churches in Sixteenth-Century Belize		https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17957	
		Alves		"A. Alves Carrara, E. Sánchez Santiró"			2012	2012	Mexico City	Mexico	Guerra y fiscalidad en la Iberoamérica colonial		file:///Users/angelnavidad/Downloads/Entre_la_paz_y_la_guerra_el_gasto_milita.pdf	
		Hanna	M. G. Hanna				2015	2015	Chapel Hill	USA	"Pirate Nests and the Rise of the British Empire, 1570-1740"		https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/44065/	
		UK BE	xxx	"R. Thomas, N. Dimsdale"			2020	2016	London	UK	A millennium of UK data		https://www.bankofengland.co.uk/statistics/research-datasets	
		Cardona	J. M. Cardona Amaya				2020	2020	Tegucigalpa	Honduras	Invasiones de corsarios a la Honduras de Felipe IV (1633-1643) 		https://halshs.archives-ouvertes.fr/halshs-02540842/document	

Peer: C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	YR	AUTHORS	JOURNAL	V	I	TITLE	LINK	
		M	Antochiw	2004	M. Antochiw	Anuario de Estudios Centroamericanos	46		ALEJANDRO JOSEPH DE GUELLE	http://observatoriogeograficoamericalatina.org.mx/egal9/Geografiasocioeconomica/Geografiacultural/10.pdf	
			Barbour	1911	V. Barbour	American Historical Review	16	3	Privateers and Pirates of the West Indies	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1834836	
		T	Barke 12	2012	G. Vasquez Barke				BACALAR EN EL SIGLO XVII	http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/761	
		T	Barke 16	2016	G. Vasquez Barke				Los poderes y los hombres	http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/336	
			Baudot	1986	G. Baudot	Cahiers du monde hispanique et luso-brésilien	46		Dissidences indiennes et complicités flibustières dans le Yucatán du XVII e siècle	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/40852876	
			Bialuschewski	2017	A. Bialuschewski	Ethnohistory	64	1	Slaves of the Buccaneers: Mayas in Captivity in the Second Half of the Seventeenth Century	https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3688359	
		T	Bowett	1996	A. Bowett				The english mahogany trade 1700-1793 	"Bowett, A. (1996). The english mahogany trade 1700-1793 (Order No. CA47977). Available from ProQuest Dissertations & Theses Global. (304303774). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/english-mahogany-trade-1700-1793/docview/304303774/se-2?accountid=11311"	
		T	Breuer	1993	K. H. Breuer				"Colonies of happenstance: The english settlements in central america, 1525-1787 "	"Breuer, K. H. (1993). Colonies of happenstance: The english settlements in central america, 1525-1787 (Order No. 1352917). Available from ProQuest Dissertations & Theses Global. (230667983). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/colonies-happenstance-english-settlements-central/docview/230667983/se-2?accountid=11311"	
			Bulmer	2016	"B. Bulmer-Thomas, V. Bulmer-Thomas"	Tempus	4		The Origins of the Belize Settlement	file:///Users/angelnavidad/Downloads/326161-Texto%20del%20art%3Fculo-119179-1-10-20161119.pdf	
			Camille	1996	M. A. Camille & R. Espejo-Saavedra	Yearbook (Conference of Latin Americanist Geographers)	22		Historical Geography of the Belizean Logwood Trade	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25765830	
			Cave	1976	R. Cave	Library Quarterly	46	1	Printing in Nineteenth-Century Belize	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/4306599	
			Cervera 19	2019	A. E. Cervera Molina	Península	14	2	BELIZE AND YUCATAN THROUGH TRAVEL STORIES	http://www.revistas.unam.mx/index.php/peninsula/article/view/70001	
			Cervera 20	2020	A. E. Cervera Molina	Anuario de Estudios Centroamericanos	46		A BACK AND FORTH JOURNEY. DIALOGUES BETWEEN ALEJANDRO JOSEPH DE GUELLE AND JAMES COOK	https://doi.org/10.15517/aeca.v46i0.45040	
			Contreras	1987	A. C. Contreras Sanchez	Historia Mexicana	37	1	"El palo de tinte, motivo de un conflicto entre dos naciones"	https://historiamexicana.colmex.mx/index.php/RHM/article/view/2034	
			Correa	2020	"C. Correa Angulo, A. Ramírez Romero"	Anuario de Estudios Centroamericanos	46		Central American membership: Belize among neighbouring countries	https://doi.org/10.15517/aeca.v46i0.45027	
			Dapson	2015	"R. Dapson, C. Bain"	Biotechnic and histochemistry	90	6	"Brazilwood, sappanwood, brazilin and the red dye brazilein"	http://ezp-prod1.hul.harvard.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=aph&AN=108394375&site=ehost-live&scope=site	
			Davis	1954	R. Davis	Economic History Review	7	2	"English Foreign Trade, 1660-1700"	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2591619	
		T	Elliott	1997	P. Elliott-Wright				"The officers of the irish brigade and the british army, 1789-98 "	"Elliott-Wright, P. (1997). The officers of the irish brigade and the british army, 1789-98 (Order No. U093336). Available from ProQuest Dissertations & Theses Global. (301519802). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/officers-irish-brigade-british-army-1789-98/docview/301519802/se-2?accountid=11311"	
		M	Evans	1999	D. K. Evans				A Brief History of the Bay Islands	http://aboututila.com/UtilaInfo/Historical/David-Evans-Brief-History.htm	
		M	Ferguson	2019	"M. Ferguson, P. Pelayo, N. Encalada"				A History of Slavery & Emancipation in Belize	https://ambergriscaye.com/photogallery/art/Slavery-and-Emancipation-in-Bz-by-ISCR-NICH.pdf	
			Ferreira	2004	"E. S. B. Ferreira, A. N. Hulme, H. McNab, A. Quye"	Chemical Society Reviews	33	6	The natural constituents of historical textile dyes	https://doi-org.ezp-prod1.hul.harvard.edu/10.1039/B305697J	
		M	Fischbeck	2020	S. L. Fischbeck				Agricultural Terrace Productivity in the Maya Lowlands of Belize	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.580.5403&rep=rep1&type=pdf	
		T	Genkins	2018	D. Genkins				Entangled Empires: Anglo-Spanish Competition in the Seventeenth-Century Caribbean	https://ir.vanderbilt.edu/bitstream/handle/1803/13282/Genkins_dissertation_final.pdf?sequence=1	
			Gonzalez	1983	N. L. Gonzalez	Nieuwe West-Indische Gids / New West Indian Guide	5	3/4	NEW EVIDENCE ON THE ORIGIN OF THE BLACK CARIB: WITH THOUGHTS ON THE MEANING OF TRADITION	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/41849126	
